speed,fuel_level_input,temperature,lat,lon
5,70,40,51.50824,-0.19676
10,70,40,51.50749,-0.19477
15,65,40,51.50749,-0.19477
20,65,40,51.50582,-0.19426
25,60,40,51.50582,-0.19426
30,60,40,51.50434,-0.19334
35,60,40,51.50413,-0.19233
40,60,35,51.50399,-0.19213
45,60,35,51.50214,-0.19095
50,55,35,51.50214,-0.19095
55,55,35,51.50221,-0.18965
60,55,35,51.50236,-0.18776
65,55,35,51.5016,-0.18326
70,50,32,51.5016,-0.18326
75,50,32,51.50157,-0.1784
80,45,32,51.50223,-0.16707
75,45,32,51.50223,-0.16707
70,45,32,51.50343,-0.15289
65,40,33,51.50441,-0.15103
60,40,34,51.50441,-0.15103
55,40,34,51.5033,-0.15005
50,90,34,51.49816,-0.14415
45,85,34,51.49816,-0.14415
40,85,35,51.49636,-0.14249
35,85,35,51.49509,-0.1417
30,85,35,51.49509,-0.1417
25,80,35,51.49309,-0.13871
20,80,35,51.48947,-0.13109
15,80,35,51.4893772,-0.1307562
10,80,36,51.4893772,-0.1307562
