speed,fuel_level_input,temperature,lat,lon
5,70,40,51.51978,-0.18862
10,70,40,51.52061,-0.18137
15,65,40,51.52103,-0.18064
20,65,40,51.52103,-0.18064
25,60,40,51.52523,-0.1776
30,60,40,51.52676,-0.176
35,60,40,51.53021,-0.16814
40,60,35,51.5335,-0.16564
45,60,35,51.53465,-0.16422
50,55,35,51.53465,-0.16422
55,55,35,51.53517,-0.16312
60,55,35,51.5356,-0.16198
65,55,35,51.53629,-0.15958
70,50,32,51.53744,-0.15389
75,50,32,51.53569,-0.14699
80,45,32,51.52885,-0.14433
75,45,32,51.52488,-0.1442
70,45,32,51.52415,-0.14332
65,40,33,51.52459,-0.14018
60,40,34,51.5263,-0.13366
55,40,34,51.52989,-0.12441
50,90,34,51.53065,-0.12257
45,85,34,51.53096,-0.1198
40,85,35,51.53171,-0.11043
35,85,35,51.53192,-0.10625
30,85,35,51.53012,-0.09897
25,80,35,51.52879,-0.09371
20,80,35,51.53022,-0.09236
15,80,35,51.53247,-0.0931
10,80,36,51.5345209,-0.0892846
