speed,fuel_level_input,temperature,lat,lon
0,99,30,51.499193,-0.090476
5,99,30,51.497503,-0.088663
10,99,30,51.497075,-0.088212
15,99,30,51.496434,-0.087558
20,99,30,51.496194,-0.087343
25,99,30,51.495799,-0.086861
30,99,30,51.494931,-0.085917
35,99,31,51.493786,-0.084946
40,99,31,51.493542,-0.084565
45,98,31,51.493184,-0.084119
50,98,31,51.492887,-0.083739
50,97,31,51.492593,-0.083406
50,97,31,51.492199,-0.082891
50,97,32,51.491965,-0.08273
50,96,32,51.491788,-0.082408
55,96,32,51.491581,-0.082172
60,96,32,51.491448,-0.081984
65,96,32,51.491301,-0.08177
70,96,33,51.491204,-0.081625
75,95,34,51.4911,-0.081507
75,95,34,51.490973,-0.081346
75,95,34,51.490826,-0.081158
75,95,34,51.490719,-0.081024
75,95,35,51.490556,-0.080815
75,94,35,51.490442,-0.080718
75,94,35,51.490355,-0.080563
75,94,35,51.490302,-0.080429
75,94,35,51.490185,-0.080321
75,93,35,51.490105,-0.080182
75,93,36,51.490058,-0.08008
