speed,fuel_level_input,temperature,lat,lon
5,70,40,51.48081,0.0092
10,70,40,51.48151,-0.02636
15,65,40,51.48545,-0.03422
20,65,40,51.49152,-0.04526
25,60,40,51.49485,-0.04442
30,60,40,51.49496,-0.04429
35,60,40,51.4957,-0.0429
40,60,35,51.4957,-0.0429
45,60,35,51.49626,-0.04114
50,55,35,51.49837,-0.03645
55,55,35,51.49954,-0.03542
60,55,35,51.50214,-0.03567
65,55,35,51.50562,-0.03871
70,50,32,51.4996,-0.05403
75,50,32,51.4994,-0.0553
80,45,32,51.49915,-0.05514
75,45,32,51.49879,-0.05498
70,45,32,51.49889,-0.05607
65,40,33,51.49795,-0.0656
60,40,34,51.49827,-0.06872
55,40,34,51.49853,-0.0704
50,90,34,51.49833,-0.07135
45,85,34,51.49757,-0.07873
40,85,35,51.49792,-0.08125
35,85,35,51.49837,-0.08365
30,85,35,51.50108,-0.09181
25,80,35,51.50167,-0.09452
20,80,35,51.50302,-0.09606
15,80,35,51.50336,-0.09579
10,80,36,51.5041856,-0.0955
