speed,fuel_level_input,temperature,lat,lon
5,70,40,51.51333,-0.11767
10,70,40,51.51474,-0.11861
15,65,40,51.51489,-0.11863
20,65,40,51.496434,-0.087558
25,60,40,51.51497,-0.11869
30,60,40,51.51629,-0.11963
35,60,40,51.51736,-0.12034
40,60,35,51.5182,-0.12074
45,60,35,51.51911,-0.12132
50,55,35,51.51921,-0.12141
55,55,35,51.51925,-0.12142
60,55,35,51.52032,-0.12264
65,55,35,51.5214,-0.124
70,50,32,51.52311,-0.12611
75,50,32,51.52382,-0.12691
80,45,32,51.52409,-0.12594
75,45,32,51.52419,-0.12467
70,45,32,51.52344,-0.12341
65,40,33,51.5237,-0.1222
60,40,34,51.52396,-0.1224
55,40,34,51.52437,-0.1227
50,90,34,51.52462,-0.12286
45,85,34,51.52477,-0.12295
40,85,35,51.52477,-0.12295
35,85,35,51.52506,-0.1231
30,85,35,51.52544,-0.12331
25,80,35,51.52592,-0.1236
20,80,35,51.52609,-0.12371
15,80,35,51.51332559,-0.11767
10,80,36,51.526085,-0.1237055
