speed,fuel_level_input,temperature,lat,lon
5,70,40,51.48904,-0.1549
10,70,40,51.49043,-0.15359
15,65,40,51.49027,-0.14869
20,65,40,51.49004,-0.14807
25,60,40,51.49005,-0.14785
30,60,40,51.49038,-0.14621
35,60,40,51.49067,-0.14518
40,60,35,51.49093,-0.14435
45,60,35,51.49128,-0.14311
50,55,35,51.49176,-0.14151
55,55,35,51.49205,-0.14053
60,55,35,51.49623,-0.13503
65,55,35,51.49629,-0.13501
70,50,32,51.49632,-0.13494
75,50,32,51.49632,-0.13487
80,45,32,51.49628,-0.13478
75,45,32,51.49636,-0.13428
70,45,32,51.49653,-0.13378
65,40,33,51.49655,-0.13368
60,40,34,51.49684,-0.13165
55,40,34,51.49769,-0.12951
50,90,34,51.49791,-0.12969
45,85,34,51.4988,-0.12987
40,85,35,51.49938,-0.12981
35,85,35,51.50011,-0.12805
30,85,35,51.50037,-0.12757
25,80,35,51.50097,-0.12742
20,80,35,51.50106,-0.12707
15,80,35,51.50159,-0.12409
10,80,36,51.50728789,-0.126878799
