speed,fuel_level_input,temperature,lat,lon
5,70,40,51.48644,-0.11919
10,70,40,51.48442,-0.11771
15,65,40,51.48279,-0.11351
20,65,40,51.47911,-0.10521
25,60,40,51.47407,-0.09135
30,60,40,51.474,-0.07935
35,60,40,51.47414,-0.07451
40,60,35,51.47342,-0.07022
45,60,35,51.47361,-0.06956
50,55,35,51.47398,-0.06769
55,55,35,51.47403,-0.06531
60,55,35,51.47409,-0.06318
65,55,35,51.47402,-0.06149
70,50,32,51.47392,-0.06012
75,50,32,51.4735,-0.05833
80,45,32,51.47338,-0.05639
75,45,32,51.47303,-0.05491
70,45,32,51.47295,-0.05307
65,40,33,51.47313,-0.05187
60,40,34,51.47357,-0.05049
55,40,34,51.47408,-0.04716
50,90,34,51.47445,-0.04602
45,85,34,51.47431,-0.0434
40,85,35,51.47459,-0.04184
35,85,35,51.47485,-0.0409
30,85,35,51.47516,-0.03928
25,80,35,51.47563,-0.03737
20,80,35,51.4757,-0.03644
15,80,35,51.47585,-0.03362
10,80,36,51.474848,-0.0362321
