speed,fuel_level_input,temperature,lat,lon
5,70,40,51.53704,-0.02577
10,70,40,51.53826,-0.02597
15,65,40,51.54006,-0.02645
20,65,40,51.54228,-0.02785
25,60,40,51.54515,-0.03505
30,60,40,51.53706,-0.02559
35,60,40,51.53108,-0.01721
40,60,35,51.53014,-0.01484
45,60,35,51.52527,-0.01134
50,55,35,51.52298,-0.01043
55,55,35,51.5221,-0.01029
60,55,35,51.52199,-0.0103
65,55,35,51.5211,-0.0104
70,50,32,51.52034,-0.0103
75,50,32,51.50895,-0.00922
80,45,32,51.50807,-0.00831
75,45,32,51.50774,-0.00764
70,45,32,51.50669,-0.00759
65,40,33,51.50575,-0.00743
60,40,34,51.50492,-0.0073
55,40,34,51.50443,-0.00754
50,90,34,51.50271,-0.00845
45,85,34,51.5018,-0.00869
40,85,35,51.50072,-0.00889
35,85,35,51.49985,-0.00922
30,85,35,51.49972,-0.00927
25,80,35,51.49943,-0.00927
20,80,35,51.49846,-0.00946
15,80,35,51.49729,-0.00963
10,80,36,51.4969132,-0.0095046
